block,name,title,,,statement1,statement2,question,answer,type,format,immersion,word1,word2
1,backpacking,Backpacking plans,None,None,"You are backpacking abroad with your best friend. You have a general idea of what you will do each day, but you didn’t plan out every detail ahead of time. This uncertainty causes some anxiety that is tolerable.",None,Is the spontaneity of your trip going to be tolerable?,Yes,Other,Visual,none,tolerable,None
1,silent,A moment of silence,None,None,"One afternoon you are hanging out with a friend, and you notice that the conversation has died down. Neither of you says anything for a while, and your friend can sense that you feel uncomfortable.","That evening, you realize that it is completely normal to have silent breaks during conversation. You believe that your friend thinks it was better to stay silent than to make up things to say, and was probably glad.",Does your friend think you are OK with silence?,Yes,Social,Visual,none,uncomfortable,glad
1,station,Collecting an old friend,None,None,"You arrange to meet up with a friend you have not seen for many years. You drive to the train station to pick him up. When you arrive, you know he will find spending time with you fun.",None,Do you think your friend will have a good time with you?,Yes,Social,Visual,picture,fun,None
1,camera,A new camera,None,None,"You buy a new camera, but when you get home, you find that you do not like it. You return it to the store and get your money back. At the counter, the assistant is not very talkative as he helps you, and you think he views you as rational.",None,Do you think the sales assistant felt you were annoying?,No,Social,Visual,none,rational,None
1,physical,Annual physical exam,None,None,"You are getting your annual physical with your doctor. After he does the initial exam, he indicates that something looks unusual, and says he will need to get a second opinion. When it comes to managing your anxiety while you wait in the exam room, you are capable.",None,Are you capable of managing your anxiety while waiting for your doctor?,Yes,Physical_NonAnxSensitive,Visual,none,capable,None
1,blood,Blood test results,None,None,"At your last doctor’s appointment, your doctor took a few blood tests. The doctor told you that she will get you your results in a few days, and you feel nervous as you wait for them. You think your nervousness is manageable.",None,Is it unbearable to be nervous as you wait for your test results?,No,Physical_NonAnxSensitive,Visual,none,manageable,None
1,class,A prepared speech,None,None,"You have to give a speech for a class you are taking, and you spend a long time preparing. As you walk into the classroom to begin your speech, your anxiety is intolerable.",None,Is your anxiety intolerable?,Yes,Social,Visual,picture,intolerable,None
1,vacation,Vacationing by plane,None,None,"You are traveling to your vacation destination on an airplane. As the plane accelerates during takeoff, your chest begins to feel tight. You are relaxed. ",None,Are you scared that you won't be able to breathe properly?,No,Physical_AnxSensitive,Visual,none,relaxed,None
1,father,An important call,None,None,"You work in a large office with your supervisors. One morning you have to call your father and discuss an important matter. Everyone else is working quietly, and several colleagues look up and seem annoyed.","After you hang up, you realize that although everyone could hear your conversation, it was a short call and you were being as quiet as possible. You believe that your coworkers probably think calling your mother from work means you are caring.",Were others judging you negatively because you called your father from work?,No,Social,Visual,none,annoyed,caring
1,funny,A big laugh,None,None,"At a house party, your friend tells a funny joke. You laugh so much that it feels like you can't get enough air. This experience is enjoyable. ",None,Is it fun to laugh really hard?,Yes,Physical_AnxSensitive,Visual,none,enjoyable,None
2,child,A child's request,None,None,"You are looking after a friend's child. The child asks to go to a park in a different neighborhood. In your opinion, an ordinary outing like this is safe.",None,Is going to a park in a different neighborhood dangerous?,No,Other,Visual,none,safe,None
2,milk,Picking up some milk,None,None,"You remembered that you need milk from the store, so on your way home, you stop to get it. When you walk into the store, you suddenly forget why you are there, which you find a bit troubling. You check your to-do list and decide you can still continue on with your day with confidence.",None,Did troubling thoughts prevent you from continuing on with your day?,No,Physical_AnxSensitive,Visual,none,confidence,None
2,workshop,First workshop meeting,None,None,"You are at a workshop, and the leader asks all attendees to stand up and introduce themselves. During your brief presentation you momentarily forget what you planned to say, and the audience stares at you looking annoyed. In the end, you realize that everyone has these moments, and you quickly recover. As you finish introducing yourself, you see that the others are listening with keen interest.","In the end, you realize that everyone has these moments, and you quickly recover. As you finish introducing yourself, you see that the others are listening with keen interest.",Did the other people think you were boring?,No,Social,Visual,none,annoyed,interest
2,restroom,Bumping into a coworker,None,None,"On your way out from work, you stop in the restroom. As you leave the bathroom stall, your coworker passes you and gives you a funny look. Your coworker is probably distracted.",None,Is your coworker negatively judging you as you leave the restroom?,No,Social,Visual,picture,distracted,None
2,bags,Helping an elder neighbor,None,None,"One day after work, you notice an elder neighbor carrying bags of groceries from her car to her house. You ask whether she needs help, and she turns and stares at you, looking offended.","When you get home, you realize that your neighbor was probably having a bad day and that it was appropriate to offer help. Your neighbor probably thinks you are kind.",Does your neighbor appreciate your offer to help with the groceries?,Yes,Social,Visual,none,offended,offended
2,clothes,Going out in work clothes,None,None,"One evening, your colleagues decide to go out to eat and ask you to join them. You accept, but will have to wear your work clothes. When you arrive, the other diners turn to look at you. You think this is because they think you look stylish.",None,Do you think that other diners think you are dressed inappropriately?,No,Social,Visual,none,stylish,None
2,spring,Spring break decisions,None,None,"You are considering multiple options for where to go for spring break. You have only a little bit of information about each potential destination before you make your choice. When you decide, you feel satisfied.",None,Are you content with your decision for where to go on spring break?  ,Yes,Other,Visual,none,satisfied,None
2,conversation,An amusing conversation,None,None,"You are having a funny conversation with your friend. You open your mouth to say something, and your mind goes blank. This makes you anxious.",None,Do you worry that something is terribly wrong with you when your mind goes blank?,No,Physical_AnxSensitive,Visual,none,anxious,None
2,spider,Spider bite,None,None,"While out hiking you are bitten by a spider. Your friend assures you that the spider was not poisonous and that you will be fine. You worry that it could have been a deadly spider, but you continue your hike anyway, and your worries for the rest of the hike are manageable. ",None,Are you able to manage your worries while finishing your hike?,Yes,Physical_NonAnxSensitive,Visual,none,manageable,None
2,dinner,A different perspective,None,None,"You are out to dinner with a few friends. During the meal, one friend says something that you really disagree with. As you voice your opinion, your friends become quiet because they are impressed.",None,Are your friends annoyed by your point of view?,No,Social,Visual,picture,impressed,None
3,corridor,A question from your boss,None,None,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was her job, and you feel that the whole interaction went well.",Is it OK to occasionally answer a question from your boss incorrectly?,Yes,Social,Visual,picture,awful,well
3,newcomer,Active dance class,None,None,"You are taking a dancing class and, during a break, find yourself talking to a newcomer about your job. As you chat, you notice that you are sweating. She probably assumes this is a result of dancing.",None,Did the person you met at dance class think you were anxious?,No,Social,Visual,none,dancing,None
3,carnival,Spinning around,None,None,"You go on a spinning ride at a carnival. When you get off, you feel dizzy. You are delighted.",None,Do you find it fun to feel dizzy after spinning carnival rides?,Yes,Physical_AnxSensitive,Visual,none,delighted,None
3,heater,Space heater,None,None,"You rushed out of the house this morning. Once at work, you wonder whether you forgot to turn off your space heater. The likelihood that the space heater will cause a fire is minimal.",None,Will your space heater cause a fire? ,No,Other,Visual,none,minimal,None
3,pool,Swimming in the pool,None,None,"It's Sunday morning and you are swimming laps at the pool. After a couple of laps you feel out of breath and decide to break for a minute at the end of the lane. Gasping for breath makes you feel anxious, and you want to stop swimming. You decide that these sensations are tolerable, and you resume.",None,Did you keep on exercising despite feeling anxious?,Yes,Physical_AnxSensitive,Visual,none,resume,None
3,coffee,Meeting an old acquaintence,None,None,"An old acquaintance just moved into your city and asks you out to coffee. You are nervous about seeing him again after many years and could easily tell him that you are too busy. You are at home when he calls about meeting, and you decide to answer.",None,Do you take your acquaintance’s call to meet for coffee?,Yes,Social,Visual,picture,answer,None
3,mistake,Quick task completion,None,None,"You have started a new job, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to your boss, who finds only one mistake in your work. As the meeting ends, you expect he thinks your work is commendable.",None,Was your boss pleased with your work?,Yes,Social,Visual,none,commendable,None
3,infant,Coughs and sneezes,None,None,"Yesterday you spent the day with your friends and their new infant. The infant coughed and sneezed on you a few times, and you wonder whether you will catch something. Tomorrow you will probably be sick.",None,Will you get sick from your friends' new baby?,Yes,Physical_NonAnxSensitive,Visual,none,sick,None
3,exam,Exam preparation,None,None,You are preparing for a final exam. You heard from other people that the exam is incredibly difficult. You studied a lot and think it is likely you will pass.,None,Will you probably pass the test?,Yes,Other,Visual,none,pass,None
3,pub,Waiting for your date,None,None,"You arrange to meet your date at 8 p.m. in a local pub. You arrive on time and find that your date is not there yet. Reflecting on your last conversation as you wait for a table, you remember that your date found you interesting.",None,Was your date interested in you after your last conversation?,Yes,Social,Visual,picture,interesting,None
4,choir,An unexpected performance,None,None,"You have been a member of a choir for several years and enjoy performing at concerts. One evening, you are asked to sing on very short notice with another group. Afterwards, you feel that the others found your contribution valuable.",None,Were the other members of the choir happy with your singing?,Yes,Social,Visual,none,valuable,None
4,noise,A sudden sound,None,None,"You are walking to class when you hear a sudden noise behind you. When you quickly turn your head to see what it is, a feeling of dizziness hits you, and you begin to worry you will lose control. Noticing these thoughts, you decide that you will be able to cope, and so you keep walking.",None,Did you let worries get in the way of you getting to class?,No,Physical_AnxSensitive,Visual,none,walking,None
4,internship,Applying for an internship,None,None,"You are applying to an internship program. As you prepare your resume, you reflect upon everything you have accomplished so far. Your record is strong, but not perfect, which makes you feel worried.",None,Are you pleased with your record? ,Yes,Other,Visual,none,worried,None
4,grade,A tough exam,None,None,"You just finished a hard exam, and you are not sure whether you did well or not. You feel nervous as you think about what grade you will get. You think being nervous is manageable.",None,Can you tolerate your nervousness as you wait to find out your grade?,Yes,Other,Visual,none,manageable,None
4,corner,Laughing in the corner,None,None,"You are giving a presentation during your evening class. As you talk, you hear a few of your classmates laughing in the corner. You look over at them and realize they were probably laughing at you. After a moment, you remember situations where you and your classmates have laughed about things unrelated to who is speaking. You move on from their laughter and complete your presentation successfully.","After a moment, you remember situations where you and your classmates have laughed about things unrelated to who is speaking. You move on from their laughter and complete your presentation successfully.",Were your classmates laughing at you?,No,Social,Visual,picture,you,successfully
4,nervous,Anticipating a date,None,None,You have a date in 30 minutes. You are feeling nervous. This feeling makes you even more excited.,None,Does feeling nervous scare you?,No,Physical_AnxSensitive,Visual,none,excited,None
4,slides,A loss of thought,None,None,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",None,Is it normal to lose your train of thought while presenting?,Yes,Social,Visual,picture,normal,None
4,teacher,In the teacher's office,None,None,"You are having a discussion with your teacher in his office, which is a little anxiety-provoking for you. You think about ending the discussion early. After a brief pause, you decide to stay.",None,Are you able to continue the discussion with your teacher?,Yes,Social,Visual,picture,stay,None
4,professor,A few word stutters,None,None,"You are having a conversation with your professor in her office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",None,Are you embarrassed due to stuttering over your words?,No,Social,Visual,none,okay,None
4,sunscreen,Sun protection,None,None,"While on a hike you realize that you forgot to put sunscreen on. You didn’t bring sunscreen with you, and you begin to worry about skin cancer. You try to notice the scenery around you, and the rest of the hike is enjoyable.",None,Did you enjoy the rest of the hike?,Yes,Physical_NonAnxSensitive,Visual,none,enjoyable,None
